Monat,Durchfluss_m3s,Datum
04/1995,1.1563500000000002,1995-04-01
05/1995,-0.4532249999999999,1995-05-01
06/1995,-0.005875000000000186,1995-06-01
07/1995,-0.308825,1995-07-01
08/1995,-0.3623,1995-08-01
09/1995,1.8174000000000001,1995-09-01
10/1995,0.19617499999999977,1995-10-01
11/1995,1.3311250000000001,1995-11-01
12/1995,-0.3757750000000004,1995-12-01
01/1996,-0.684625,1996-01-01
02/1996,-0.8782250000000007,1996-02-01
03/1996,-1.4362000000000004,1996-03-01
04/1996,-1.2406499999999998,1996-04-01
05/1996,-0.39622499999999994,1996-05-01
06/1996,-0.18087500000000023,1996-06-01
07/1996,1.484175,1996-07-01
08/1996,-0.18330000000000002,1996-08-01
09/1996,0.3293999999999999,1996-09-01
10/1996,0.7821749999999998,1996-10-01
11/1996,0.20812500000000023,1996-11-01
12/1996,-0.7097750000000005,1996-12-01
01/1997,-0.878625,1997-01-01
02/1997,0.4927749999999993,1997-02-01
03/1997,0.5447999999999995,1997-03-01
04/1997,-0.9776499999999997,1997-04-01
05/1997,-0.5732249999999999,1997-05-01
06/1997,-0.5748750000000002,1997-06-01
07/1997,-0.5098250000000001,1997-07-01
08/1997,-0.27230000000000004,1997-08-01
09/1997,-0.4136,1997-09-01
10/1997,-0.38682500000000025,1997-10-01
11/1997,-0.5878749999999998,1997-11-01
12/1997,0.031224999999999614,1997-12-01
01/1998,-0.273625,1998-01-01
02/1998,-0.2542250000000007,1998-02-01
03/1998,0.8097999999999996,1998-03-01
04/1998,-1.7066499999999998,1998-04-01
05/1998,-0.909225,1998-05-01
06/1998,-0.5018750000000002,1998-06-01
07/1998,-0.2558250000000001,1998-07-01
08/1998,-0.2303,1998-08-01
09/1998,1.0724,1998-09-01
10/1998,0.9151749999999998,1998-10-01
11/1998,1.4001250000000005,1998-11-01
12/1998,0.033224999999999616,1998-12-01
01/1999,-0.07162500000000005,1999-01-01
02/1999,0.43077499999999924,1999-02-01
03/1999,1.4047999999999998,1999-03-01
04/1999,-1.1496499999999996,1999-04-01
05/1999,-0.6172249999999999,1999-05-01
06/1999,-0.42187500000000017,1999-06-01
07/1999,-0.33282500000000004,1999-07-01
08/1999,-0.4403,1999-08-01
09/1999,-0.5486,1999-09-01
10/1999,-0.5618250000000002,1999-10-01
