Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
5.758,1.048,1.048,421.205,0.000,0
2.662,0.786,0.786,423.082,0.000,0
9.337,1.834,1.834,430.585,0.000,0
2.116,1.834,1.834,430.866,0.000,0
2.278,2.620,2.620,430.525,0.000,0
1.464,3.144,3.144,428.845,0.000,0
0.872,3.668,3.668,426.049,0.000,0
6.641,3.668,3.668,429.022,0.000,0
2.654,2.620,2.620,429.056,0.000,0
6.013,1.834,1.834,433.235,0.000,0
2.754,1.834,1.834,434.155,0.000,0
1.685,1.310,1.310,434.530,0.000,0
0.557,1.048,1.048,434.039,0.000,0
1.051,0.786,0.786,434.304,0.000,0
3.038,1.834,1.834,435.508,0.000,0
2.265,1.834,1.834,435.940,0.000,0
1.819,2.620,2.620,435.138,0.000,0
6.176,3.144,3.144,438.170,0.000,0
1.343,3.668,3.668,435.845,0.000,0
2.730,3.668,3.668,434.907,0.000,0
4.194,2.620,2.620,436.482,0.000,0
3.062,1.834,1.834,437.709,0.000,0
1.876,1.834,1.834,437.752,0.000,0
1.175,1.310,1.310,437.616,0.000,0
4.160,1.048,1.048,440.729,0.000,0
6.257,0.786,0.786,446.200,0.000,0
3.729,1.834,1.834,448.095,0.000,0
1.800,1.834,1.834,448.061,0.000,0
0.783,2.620,2.620,446.224,0.000,0
0.936,3.144,3.144,444.016,0.000,0
1.109,3.668,3.668,441.457,0.000,0
0.778,3.668,3.668,438.567,0.000,0
1.122,2.620,2.620,437.069,0.000,0
0.970,1.834,1.834,436.205,0.000,0
3.824,1.834,1.834,438.194,0.000,0
2.765,1.310,1.310,439.649,0.000,0
2.197,1.048,1.048,440.798,0.000,0
6.954,0.786,0.786,446.966,0.000,0
1.813,1.834,1.834,446.945,0.000,0
0.917,1.834,1.834,446.028,0.000,0
0.975,2.620,2.620,444.383,0.000,0
1.603,3.144,3.144,442.842,0.000,0
1.219,3.668,3.668,440.394,0.000,0
4.683,3.668,3.668,441.409,0.000,0
4.544,2.620,2.620,443.333,0.000,0
6.194,1.834,1.834,447.693,0.000,0
3.829,1.834,1.834,449.688,0.000,0
3.296,1.310,1.310,451.673,0.000,0
3.997,1.048,1.048,454.623,0.000,0
8.517,0.786,0.786,462.354,0.000,0
3.277,1.834,1.834,463.797,0.000,0
1.685,1.834,1.834,463.648,0.000,0
1.185,2.620,2.620,462.213,0.000,0
1.401,3.144,3.144,460.469,0.000,0
0.668,3.668,3.668,457.469,0.000,0
0.423,3.668,3.668,454.224,0.000,0
0.662,2.620,2.620,452.266,0.000,0
