Monat,Durchfluss_m3s,Datum
09/1989,0.195,1989-09-01
10/1989,0.542,1989-10-01
11/1989,0.971,1989-11-01
12/1989,1.435,1989-12-01
01/1990,0.875,1990-01-01
02/1990,1.517,1990-02-01
03/1990,2.332,1990-03-01
04/1990,1.422,1990-04-01
05/1990,1.03,1990-05-01
06/1990,0.758,1990-06-01
07/1990,0.595,1990-07-01
08/1990,0.325,1990-08-01
09/1990,0.929,1990-09-01
10/1990,0.736,1990-10-01
11/1990,1.269,1990-11-01
12/1990,0.758,1990-12-01
01/1991,1.231,1991-01-01
02/1991,0.462,1991-02-01
03/1991,0.562,1991-03-01
04/1991,0.493,1991-04-01
05/1991,0.776,1991-05-01
06/1991,1.055,1991-06-01
07/1991,0.544,1991-07-01
08/1991,0.455,1991-08-01
09/1991,0.195,1991-09-01
10/1991,0.201,1991-10-01
11/1991,0.506,1991-11-01
12/1991,1.674,1991-12-01
01/1992,2.755,1992-01-01
02/1992,2.52,1992-02-01
03/1992,3.814,1992-03-01
04/1992,2.032,1992-04-01
05/1992,1.223,1992-05-01
06/1992,0.312,1992-06-01
07/1992,0.455,1992-07-01
08/1992,0.321,1992-08-01
09/1992,0.298,1992-09-01
10/1992,0.354,1992-10-01
11/1992,1.24,1992-11-01
12/1992,0.657,1992-12-01
01/1993,1.061,1993-01-01
02/1993,0.825,1993-02-01
03/1993,1.395,1993-03-01
04/1993,0.391,1993-04-01
05/1993,0.422,1993-05-01
06/1993,0.599,1993-06-01
07/1993,0.906,1993-07-01
08/1993,0.745,1993-08-01
09/1993,0.568,1993-09-01
10/1993,0.436,1993-10-01
11/1993,0.402,1993-11-01
12/1993,2.328,1993-12-01
01/1994,1.587,1994-01-01
02/1994,0.831,1994-02-01
03/1994,1.176,1994-03-01
04/1994,1.097,1994-04-01
05/1994,0.798,1994-05-01
06/1994,0.677,1994-06-01
07/1994,1.178,1994-07-01
08/1994,1.17,1994-08-01
09/1994,0.847,1994-09-01
10/1994,0.663,1994-10-01
11/1994,0.887,1994-11-01
12/1994,1.837,1994-12-01
01/1995,2.14,1995-01-01
02/1995,2.191,1995-02-01
03/1995,1.013,1995-03-01
04/1995,3.553,1995-04-01
05/1995,0.805,1995-05-01
06/1995,0.867,1995-06-01
07/1995,0.557,1995-07-01
08/1995,0.332,1995-08-01
09/1995,2.527,1995-09-01
10/1995,1.01,1995-10-01
11/1995,2.288,1995-11-01
12/1995,1.048,1995-12-01
01/1996,0.641,1996-01-01
02/1996,0.212,1996-02-01
03/1996,0.4,1996-03-01
04/1996,1.156,1996-04-01
05/1996,0.862,1996-05-01
06/1996,0.692,1996-06-01
07/1996,2.35,1996-07-01
08/1996,0.511,1996-08-01
09/1996,1.039,1996-09-01
10/1996,1.596,1996-10-01
11/1996,1.165,1996-11-01
12/1996,0.714,1996-12-01
01/1997,0.447,1997-01-01
02/1997,1.583,1997-02-01
03/1997,2.381,1997-03-01
04/1997,1.419,1997-04-01
05/1997,0.685,1997-05-01
06/1997,0.298,1997-06-01
07/1997,0.356,1997-07-01
08/1997,0.422,1997-08-01
09/1997,0.296,1997-09-01
10/1997,0.427,1997-10-01
11/1997,0.369,1997-11-01
12/1997,1.455,1997-12-01
01/1998,1.052,1998-01-01
02/1998,0.836,1998-02-01
03/1998,2.646,1998-03-01
04/1998,0.69,1998-04-01
05/1998,0.349,1998-05-01
06/1998,0.371,1998-06-01
07/1998,0.61,1998-07-01
08/1998,0.464,1998-08-01
09/1998,1.782,1998-09-01
10/1998,1.729,1998-10-01
11/1998,2.357,1998-11-01
12/1998,1.457,1998-12-01
01/1999,1.254,1999-01-01
02/1999,1.521,1999-02-01
03/1999,3.241,1999-03-01
04/1999,1.247,1999-04-01
05/1999,0.641,1999-05-01
06/1999,0.451,1999-06-01
07/1999,0.533,1999-07-01
08/1999,0.254,1999-08-01
09/1999,0.161,1999-09-01
10/1999,0.252,1999-10-01
