Monat,Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],Speicherinhalt [hm³],Defizit [hm³],Überschuss [hm³]
05/1992,3.214,1.834,3.214,100.000,0,1.380
06/1992,0.820,2.620,2.620,98.200,0,0.000
07/1992,1.196,3.144,3.144,96.252,0,0.000
08/1992,0.844,3.668,3.668,93.427,0,0.000
09/1992,0.783,3.668,3.668,90.542,0,0.000
10/1992,0.930,2.620,2.620,88.853,0,0.000
11/1992,3.259,1.834,1.834,90.277,0,0.000
12/1992,1.727,1.834,1.834,90.170,0,0.000
01/1993,2.788,1.310,1.310,91.648,0,0.000
02/1993,2.168,1.048,1.048,92.768,0,0.000
03/1993,3.666,0.786,0.786,95.649,0,0.000
04/1993,1.028,1.834,1.834,94.842,0,0.000
05/1993,1.109,1.834,1.834,94.117,0,0.000
06/1993,1.574,2.620,2.620,93.071,0,0.000
07/1993,2.381,3.144,3.144,92.308,0,0.000
08/1993,1.958,3.668,3.668,90.598,0,0.000
09/1993,1.493,3.668,3.668,88.423,0,0.000
10/1993,1.146,2.620,2.620,86.949,0,0.000
11/1993,1.056,1.834,1.834,86.171,0,0.000
12/1993,6.118,1.834,1.834,90.455,0,0.000
01/1994,4.171,1.310,1.310,93.316,0,0.000
02/1994,2.184,1.048,1.048,94.452,0,0.000
03/1994,3.091,0.786,0.786,96.756,0,0.000
04/1994,2.883,1.834,1.834,97.805,0,0.000
05/1994,2.097,1.834,1.834,98.068,0,0.000
06/1994,1.779,2.620,2.620,97.227,0,0.000
07/1994,3.096,3.144,3.144,97.179,0,0.000
08/1994,3.075,3.668,3.668,96.586,0,0.000
09/1994,2.226,3.668,3.668,95.144,0,0.000
10/1994,1.742,2.620,2.620,94.266,0,0.000
11/1994,2.331,1.834,1.834,94.763,0,0.000
12/1994,4.828,1.834,1.834,97.757,0,0.000
01/1995,5.624,1.310,3.381,100.000,0,2.071
02/1995,5.758,1.048,5.758,100.000,0,4.710
03/1995,2.662,0.786,2.662,100.000,0,1.876
04/1995,9.337,1.834,9.337,100.000,0,7.503
05/1995,2.116,1.834,2.116,100.000,0,0.282
06/1995,2.278,2.620,2.620,99.658,0,0.000
07/1995,1.464,3.144,3.144,97.978,0,0.000
08/1995,0.872,3.668,3.668,95.183,0,0.000
09/1995,6.641,3.668,3.668,98.156,0,0.000
10/1995,2.654,2.620,2.620,98.190,0,0.000
11/1995,6.013,1.834,4.203,100.000,0,2.369
12/1995,2.754,1.834,2.754,100.000,0,0.920
01/1996,1.685,1.310,1.685,100.000,0,0.375
02/1996,0.557,1.048,1.048,99.509,0,0.000
03/1996,1.051,0.786,0.786,99.774,0,0.000
04/1996,3.038,1.834,2.812,100.000,0,0.978
05/1996,2.265,1.834,2.265,100.000,0,0.431
06/1996,1.819,2.620,2.620,99.199,0,0.000
07/1996,6.176,3.144,5.374,100.000,0,2.230
08/1996,1.343,3.668,3.668,97.675,0,0.000
09/1996,2.730,3.668,3.668,96.737,0,0.000
10/1996,4.194,2.620,2.620,98.312,0,0.000
11/1996,3.062,1.834,1.834,99.539,0,0.000
12/1996,1.876,1.834,1.834,99.582,0,0.000
01/1997,1.175,1.310,1.310,99.446,0,0.000
02/1997,4.160,1.048,3.607,100.000,0,2.559
03/1997,6.257,0.786,6.257,100.000,0,5.471
04/1997,3.729,1.834,3.729,100.000,0,1.895
05/1997,1.800,1.834,1.834,99.966,0,0.000
06/1997,0.783,2.620,2.620,98.129,0,0.000
07/1997,0.936,3.144,3.144,95.921,0,0.000
08/1997,1.109,3.668,3.668,93.362,0,0.000
09/1997,0.778,3.668,3.668,90.472,0,0.000
10/1997,1.122,2.620,2.620,88.974,0,0.000
11/1997,0.970,1.834,1.834,88.110,0,0.000
12/1997,3.824,1.834,1.834,90.099,0,0.000
01/1998,2.765,1.310,1.310,91.554,0,0.000
02/1998,2.197,1.048,1.048,92.703,0,0.000
03/1998,6.954,0.786,0.786,98.871,0,0.000
04/1998,1.813,1.834,1.834,98.850,0,0.000
05/1998,0.917,1.834,1.834,97.933,0,0.000
06/1998,0.975,2.620,2.620,96.288,0,0.000
07/1998,1.603,3.144,3.144,94.747,0,0.000
08/1998,1.219,3.668,3.668,92.299,0,0.000
09/1998,4.683,3.668,3.668,93.314,0,0.000
10/1998,4.544,2.620,2.620,95.238,0,0.000
11/1998,6.194,1.834,1.834,99.598,0,0.000
12/1998,3.829,1.834,3.427,100.000,0,1.593
01/1999,3.296,1.310,3.296,100.000,0,1.986
02/1999,3.997,1.048,3.997,100.000,0,2.949
03/1999,8.517,0.786,8.517,100.000,0,7.731
04/1999,3.277,1.834,3.277,100.000,0,1.443
05/1999,1.685,1.834,1.834,99.851,0,0.000
06/1999,1.185,2.620,2.620,98.416,0,0.000
07/1999,1.401,3.144,3.144,96.673,0,0.000
08/1999,0.668,3.668,3.668,93.672,0,0.000
09/1999,0.423,3.668,3.668,90.427,0,0.000
10/1999,0.662,2.620,2.620,88.469,0,0.000
