Monat,Durchfluss_m3s,Datum
05/1981,1.3949579733418975,1981-05-01
06/1981,0.5481719178468649,1981-06-01
07/1981,1.7593858623518324,1981-07-01
08/1981,1.6115998068567998,1981-08-01
09/1981,0.8608137513617672,1981-09-01
10/1981,2.505027695866735,1981-10-01
11/1981,2.534241640371702,1981-11-01
12/1981,1.0534555848766698,1981-12-01
01/1982,1.550669529381637,1982-01-01
02/1982,1.1468834738866047,1982-02-01
03/1982,2.018097418391572,1982-03-01
04/1982,2.6173113628965394,1982-04-01
05/1982,1.202525307401507,1982-05-01
06/1982,0.5237392519064744,1982-06-01
07/1982,0.48695319641144197,1982-07-01
08/1982,0.9131671409164094,1982-08-01
09/1982,0.29038108542137664,1982-09-01
10/1982,0.3925950299263443,1982-10-01
11/1982,0.34180897443131175,1982-11-01
12/1982,0.7860229189362793,1982-12-01
01/1983,2.4802368634412466,1983-01-01
02/1983,1.438450807946214,1983-02-01
03/1983,1.7996647524511815,1983-03-01
04/1983,3.2388786969561494,1983-04-01
05/1983,0.8650926414611165,1983-05-01
06/1983,0.553306585966084,1983-06-01
07/1983,0.31452053047105144,1983-07-01
08/1983,2.0397344749760187,1983-08-01
09/1983,0.4879484194809862,1983-09-01
10/1983,0.30416236398595387,1983-10-01
11/1983,0.6513763084909212,1983-11-01
12/1983,0.49659025299588877,1983-12-01
01/1984,0.9368041975008562,1984-01-01
02/1984,0.9770181420058235,1984-02-01
03/1984,1.163232086510791,1984-03-01
04/1984,3.1884460310157587,1984-04-01
05/1984,1.267659975520726,1984-05-01
06/1984,1.3028739200256934,1984-06-01
07/1984,2.1960878645306607,1984-07-01
08/1984,1.0253018090356283,1984-08-01
09/1984,1.0405157535405958,1984-09-01
10/1984,1.0007296980455633,1984-10-01
11/1984,0.6119436425505307,1984-11-01
12/1984,0.35615758705549827,1984-12-01
01/1985,0.3313715315604657,1985-01-01
02/1985,0.648585476065433,1985-02-01
03/1985,0.8557994205704006,1985-03-01
04/1985,2.052013365075368,1985-04-01
05/1985,1.0202273095803356,1985-05-01
06/1985,0.7194412540853029,1985-06-01
07/1985,1.4606551985902703,1985-07-01
08/1985,0.30886914309523794,1985-08-01
09/1985,0.21008308760020533,1985-09-01
10/1985,0.3092970321051729,1985-10-01
11/1985,0.29851097661014014,1985-11-01
12/1985,1.1737249211151075,1985-12-01
01/1986,1.673938865620075,1986-01-01
02/1986,0.5841528101250425,1986-02-01
03/1986,1.8863667546300102,1986-03-01
04/1986,3.0695806991349777,1986-04-01
05/1986,1.1637946436399451,1986-05-01
06/1986,2.1680085881449123,1986-06-01
07/1986,0.4992225326498798,1986-07-01
08/1986,0.8444364771548474,1986-08-01
09/1986,1.1516504216598147,1986-09-01
10/1986,0.9638643661647823,1986-10-01
11/1986,1.3000783106697498,1986-11-01
12/1986,1.486292255174717,1986-12-01
01/1987,2.9415061996796847,1987-01-01
02/1987,1.050720144184652,1987-02-01
03/1987,1.9419340886896197,1987-03-01
04/1987,6.046148033194587,1987-04-01
05/1987,1.3283619776995543,1987-05-01
06/1987,1.449575922204522,1987-06-01
07/1987,0.7957898667094894,1987-07-01
08/1987,1.068003811214457,1987-08-01
09/1987,1.0462177557194243,1987-09-01
10/1987,0.5594317002243919,1987-10-01
11/1987,1.0086456447293592,1987-11-01
12/1987,2.980859589234327,1987-12-01
01/1988,1.1770735337392941,1988-01-01
02/1988,1.1642874782442616,1988-02-01
03/1988,2.046501422749229,1988-03-01
04/1988,5.159715367254196,1988-04-01
05/1988,0.8469293117591639,1988-05-01
06/1988,0.3821432562641315,1988-06-01
07/1988,0.37135720076909884,1988-07-01
08/1988,0.3205711452740665,1988-08-01
09/1988,0.41178508977903383,1988-09-01
10/1988,0.4279990342840012,1988-10-01
11/1988,0.9322129787889688,1988-11-01
12/1988,3.3774269232939362,1988-12-01
01/1989,2.3386408677989037,1989-01-01
02/1989,0.7928548123038711,1989-02-01
03/1989,1.8570687568088386,1989-03-01
04/1989,0.49528270131380603,1989-04-01
05/1989,0.6894966458187735,1989-05-01
06/1989,0.30071059032374103,1989-06-01
07/1989,0.3189245348287084,1989-07-01
08/1989,0.26613847933367596,1989-08-01
09/1989,0.2203524238386434,1989-09-01
10/1989,0.5675663683436107,1989-10-01
11/1989,0.9967803128485783,1989-11-01
12/1989,1.4609942573535457,1989-12-01
01/1990,0.9012082018585132,1990-01-01
02/1990,1.5434221463634805,1990-02-01
03/1990,2.3586360908684476,1990-03-01
04/1990,1.4488500353734155,1990-04-01
05/1990,1.057063979878383,1990-05-01
06/1990,0.7852779243833505,1990-06-01
07/1990,0.6224918688883179,1990-07-01
08/1990,0.35270581339328544,1990-08-01
09/1990,0.9569197578982529,1990-09-01
10/1990,0.7641337024032202,1990-10-01
11/1990,1.2973476469081877,1990-11-01
12/1990,0.7865615914131552,1990-12-01
01/1991,1.2597755359181229,1991-01-01
02/1991,0.4909894804230901,1991-02-01
03/1991,0.5912034249280576,1991-03-01
04/1991,0.5224173694330251,1991-04-01
05/1991,0.8056313139379925,1991-05-01
06/1991,1.08484525844296,1991-06-01
07/1991,0.5740592029479274,1991-07-01
08/1991,0.48527314745289485,1991-08-01
09/1991,0.22548709195786243,1991-09-01
10/1991,0.2317010364628298,1991-10-01
11/1991,0.5369149809677973,1991-11-01
12/1991,1.7051289254727646,1991-12-01
01/1992,2.786342869977732,1992-01-01
02/1992,2.5515568144826997,1992-02-01
03/1992,3.8457707589876673,1992-03-01
04/1992,2.0639847034926344,1992-04-01
05/1992,1.255198647997602,1992-05-01
06/1992,0.3444125925025696,1992-06-01
07/1992,0.487626537007537,1992-07-01
08/1992,0.35384048151250425,1992-08-01
09/1992,0.3310544260174719,1992-09-01
10/1992,0.38726837052243923,1992-10-01
11/1992,1.2734823150274068,1992-11-01
12/1992,0.6906962595323742,1992-12-01
01/1993,1.0949102040373415,1993-01-01
02/1993,0.8591241485423091,1993-02-01
03/1993,1.4293380930472765,1993-03-01
04/1993,0.42555203755224413,1993-04-01
05/1993,0.4567659820572114,1993-05-01
06/1993,0.633979926562179,1993-06-01
07/1993,0.9411938710671465,1993-07-01
08/1993,0.7804078155721138,1993-08-01
09/1993,0.6036217600770813,1993-09-01
10/1993,0.4718357045820487,1993-10-01
11/1993,0.4380496490870164,1993-11-01
12/1993,2.364263593591984,1993-12-01
01/1994,1.623477538096951,1994-01-01
02/1994,0.8676914826019186,1994-02-01
03/1994,1.212905427106886,1994-03-01
04/1994,1.1341193716118536,1994-04-01
05/1994,0.835333316116821,1994-05-01
06/1994,0.7145472606217884,1994-06-01
07/1994,1.215761205126756,1994-07-01
08/1994,1.2079751496317233,1994-08-01
09/1994,0.8851890941366909,1994-09-01
10/1994,0.7014030386416583,1994-10-01
11/1994,0.9256169831466259,1994-11-01
12/1994,1.8758309276515932,1994-12-01
01/1995,2.1790448721565605,1995-01-01
02/1995,2.230258816661528,1995-02-01
03/1995,1.0524727611664955,1995-03-01
04/1995,3.592686705671463,1995-04-01
05/1995,0.8449006501764306,1995-05-01
06/1995,0.9071145946813979,1995-06-01
07/1995,0.5973285391863655,1995-07-01
08/1995,0.3725424836913329,1995-08-01
09/1995,2.567756428196301,1995-09-01
10/1995,1.0509703727012678,1995-10-01
11/1995,2.329184317206235,1995-11-01
12/1995,1.0893982617112028,1995-12-01
01/1996,0.6826122062161701,1996-01-01
02/1996,0.2538261507211377,1996-02-01
03/1996,0.4420400952261051,1996-03-01
04/1996,1.1982540397310726,1996-04-01
05/1996,0.90446798423604,1996-05-01
06/1996,0.7346819287410074,1996-06-01
07/1996,2.3928958732459753,1996-07-01
08/1996,0.5541098177509424,1996-08-01
09/1996,1.0823237622559099,1996-09-01
10/1996,1.6395377067608774,1996-10-01
11/1996,1.2087516512658447,1996-11-01
12/1996,0.7579655957708122,1996-12-01
01/1997,0.4911795402757797,1997-01-01
02/1997,1.6273934847807472,1997-02-01
03/1997,2.4256074292857144,1997-03-01
04/1997,1.463821373790682,1997-04-01
05/1997,0.7300353182956496,1997-05-01
06/1997,0.34324926280061696,1997-06-01
07/1997,0.4014632073055845,1997-07-01
08/1997,0.4676771518105518,1997-08-01
09/1997,0.3418910963155195,1997-09-01
10/1997,0.4731050408204869,1997-10-01
11/1997,0.4153189853254542,1997-11-01
12/1997,1.5015329298304219,1997-12-01
01/1998,1.0987468743353892,1998-01-01
02/1998,0.8829608188403567,1998-02-01
03/1998,2.693174763345324,1998-03-01
04/1998,0.7373887078502914,1998-04-01
05/1998,0.39660265235525904,1998-05-01
06/1998,0.41881659686022643,1998-06-01
07/1998,0.658030541365194,1998-07-01
08/1998,0.5122444858701614,1998-08-01
09/1998,1.8304584303751288,1998-09-01
10/1998,1.7776723748800964,1998-10-01
11/1998,2.405886319385064,1998-11-01
12/1998,1.5061002638900314,1998-12-01
01/1999,1.3033142083949987,1999-01-01
02/1999,1.5705281528999662,1999-02-01
03/1999,3.2907420974049337,1999-03-01
04/1999,1.296956041909901,1999-04-01
05/1999,0.6911699864148686,1999-05-01
06/1999,0.501383930919836,1999-06-01
07/1999,0.5835978754248036,1999-07-01
08/1999,0.3048118199297709,1999-08-01
09/1999,0.2120257644347383,1999-09-01
10/1999,0.30323970893970587,1999-10-01
