Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
3.858,1.834,1.834,22.261,0.000,0.000
7.682,1.310,7.047,22.896,0.000,5.737
2.712,1.048,2.712,22.896,0.000,1.664
5.054,0.786,5.054,22.896,0.000,4.268
15.839,1.834,15.839,22.896,0.000,14.005
3.440,1.834,3.440,22.896,0.000,1.606
3.758,2.620,3.758,22.896,0.000,1.138
2.039,3.144,3.144,21.791,0.000,0.000
2.754,3.668,3.668,20.877,0.000,0.000
2.696,3.668,3.668,19.906,0.000,0.000
1.416,2.620,2.620,18.702,0.000,0.000
2.596,1.834,1.834,19.465,0.000,0.000
7.779,1.834,4.348,22.896,0.000,2.514
3.038,1.310,3.038,22.896,0.000,1.728
3.004,1.048,3.004,22.896,0.000,1.956
5.322,0.786,5.322,22.896,0.000,4.536
13.503,1.834,13.503,22.896,0.000,11.669
2.168,1.834,2.168,22.896,0.000,0.334
0.946,2.620,2.620,21.222,0.000,0.000
0.917,3.144,3.144,18.995,0.000,0.000
0.783,3.668,3.668,16.110,0.000,0.000
1.022,3.668,3.668,13.465,0.000,0.000
1.064,2.620,2.620,11.909,0.000,0.000
2.389,1.834,1.834,12.464,0.000,0.000
8.814,1.834,1.834,19.444,0.000,0.000
6.084,1.310,2.632,22.896,0.000,1.322
2.021,1.048,2.021,22.896,0.000,0.973
4.817,0.786,4.817,22.896,0.000,4.031
1.238,1.834,1.834,22.300,0.000,0.000
1.748,1.834,1.834,22.213,0.000,0.000
0.725,2.620,2.620,20.319,0.000,0.000
0.773,3.144,3.144,17.947,0.000,0.000
0.633,3.668,3.668,14.913,0.000,0.000
0.512,3.668,3.668,11.757,0.000,0.000
1.424,2.620,2.620,10.562,0.000,0.000
2.552,1.834,1.834,11.279,0.000,0.000
3.771,1.834,1.834,13.217,0.000,0.000
2.300,1.310,1.310,14.206,0.000,0.000
3.987,1.048,1.048,17.145,0.000,0.000
6.128,0.786,0.786,22.487,0.000,0.000
3.737,1.834,3.328,22.896,0.000,1.494
2.707,1.834,2.707,22.896,0.000,0.873
1.992,2.620,2.620,22.268,0.000,0.000
1.564,3.144,3.144,20.688,0.000,0.000
0.854,3.668,3.668,17.874,0.000,0.000
2.441,3.668,3.668,16.647,0.000,0.000
1.934,2.620,2.620,15.961,0.000,0.000
3.335,1.834,1.834,17.462,0.000,0.000
1.992,1.834,1.834,17.620,0.000,0.000
3.235,1.310,1.310,19.545,0.000,0.000
1.214,1.048,1.048,19.712,0.000,0.000
1.477,0.786,0.786,20.403,0.000,0.000
1.296,1.834,1.834,19.864,0.000,0.000
2.039,1.834,1.834,20.069,0.000,0.000
2.773,2.620,2.620,20.222,0.000,0.000
1.430,3.144,3.144,18.508,0.000,0.000
1.196,3.668,3.668,16.035,0.000,0.000
0.512,3.668,3.668,12.880,0.000,0.000
0.528,2.620,2.620,10.788,0.000,0.000
1.330,1.834,1.834,10.284,0.000,0.000
4.399,1.834,1.834,12.849,0.000,0.000
7.240,1.310,1.310,18.779,0.000,0.000
6.623,1.048,2.506,22.896,0.000,1.458
10.023,0.786,10.023,22.896,0.000,9.237
5.340,1.834,5.340,22.896,0.000,3.506
3.214,1.834,3.214,22.896,0.000,1.380
0.820,2.620,2.620,21.096,0.000,0.000
1.196,3.144,3.144,19.148,0.000,0.000
0.844,3.668,3.668,16.323,0.000,0.000
0.783,3.668,3.668,13.438,0.000,0.000
0.930,2.620,2.620,11.749,0.000,0.000
3.259,1.834,1.834,13.173,0.000,0.000
1.727,1.834,1.834,13.066,0.000,0.000
2.788,1.310,1.310,14.544,0.000,0.000
2.168,1.048,1.048,15.664,0.000,0.000
3.666,0.786,0.786,18.545,0.000,0.000
1.028,1.834,1.834,17.738,0.000,0.000
1.109,1.834,1.834,17.013,0.000,0.000
1.574,2.620,2.620,15.967,0.000,0.000
2.381,3.144,3.144,15.204,0.000,0.000
1.958,3.668,3.668,13.494,0.000,0.000
1.493,3.668,3.668,11.319,0.000,0.000
1.146,2.620,2.620,9.845,0.000,0.000
1.056,1.834,1.834,9.067,0.000,0.000
6.118,1.834,1.834,13.351,0.000,0.000
4.171,1.310,1.310,16.212,0.000,0.000
2.184,1.048,1.048,17.348,0.000,0.000
3.091,0.786,0.786,19.652,0.000,0.000
2.883,1.834,1.834,20.701,0.000,0.000
2.097,1.834,1.834,20.964,0.000,0.000
1.779,2.620,2.620,20.123,0.000,0.000
3.096,3.144,3.144,20.075,0.000,0.000
3.075,3.668,3.668,19.482,0.000,0.000
2.226,3.668,3.668,18.040,0.000,0.000
1.742,2.620,2.620,17.162,0.000,0.000
2.331,1.834,1.834,17.659,0.000,0.000
4.828,1.834,1.834,20.653,0.000,0.000
5.624,1.310,3.381,22.896,0.000,2.071
5.758,1.048,5.758,22.896,0.000,4.710
2.662,0.786,2.662,22.896,0.000,1.876
9.337,1.834,9.337,22.896,0.000,7.503
2.116,1.834,2.116,22.896,0.000,0.282
2.278,2.620,2.620,22.554,0.000,0.000
1.464,3.144,3.144,20.874,0.000,0.000
0.872,3.668,3.668,18.079,0.000,0.000
6.641,3.668,3.668,21.052,0.000,0.000
2.654,2.620,2.620,21.086,0.000,0.000
6.013,1.834,4.203,22.896,0.000,2.369
2.754,1.834,2.754,22.896,0.000,0.920
1.685,1.310,1.685,22.896,0.000,0.375
0.557,1.048,1.048,22.405,0.000,0.000
1.051,0.786,0.786,22.670,0.000,0.000
3.038,1.834,2.812,22.896,0.000,0.978
2.265,1.834,2.265,22.896,0.000,0.431
1.819,2.620,2.620,22.095,0.000,0.000
6.176,3.144,5.374,22.896,0.000,2.230
1.343,3.668,3.668,20.571,0.000,0.000
2.730,3.668,3.668,19.633,0.000,0.000
4.194,2.620,2.620,21.208,0.000,0.000
3.062,1.834,1.834,22.435,0.000,0.000
1.876,1.834,1.834,22.478,0.000,0.000
1.175,1.310,1.310,22.342,0.000,0.000
4.160,1.048,3.607,22.896,0.000,2.559
6.257,0.786,6.257,22.896,0.000,5.471
3.729,1.834,3.729,22.896,0.000,1.895
1.800,1.834,1.834,22.862,0.000,0.000
0.783,2.620,2.620,21.025,0.000,0.000
0.936,3.144,3.144,18.817,0.000,0.000
1.109,3.668,3.668,16.258,0.000,0.000
0.778,3.668,3.668,13.368,0.000,0.000
1.122,2.620,2.620,11.870,0.000,0.000
0.970,1.834,1.834,11.006,0.000,0.000
3.824,1.834,1.834,12.995,0.000,0.000
2.765,1.310,1.310,14.450,0.000,0.000
2.197,1.048,1.048,15.599,0.000,0.000
6.954,0.786,0.786,21.767,0.000,0.000
1.813,1.834,1.834,21.746,0.000,0.000
0.917,1.834,1.834,20.829,0.000,0.000
0.975,2.620,2.620,19.184,0.000,0.000
1.603,3.144,3.144,17.643,0.000,0.000
1.219,3.668,3.668,15.195,0.000,0.000
4.683,3.668,3.668,16.210,0.000,0.000
4.544,2.620,2.620,18.134,0.000,0.000
6.194,1.834,1.834,22.494,0.000,0.000
3.829,1.834,3.427,22.896,0.000,1.593
3.296,1.310,3.296,22.896,0.000,1.986
3.997,1.048,3.997,22.896,0.000,2.949
8.517,0.786,8.517,22.896,0.000,7.731
3.277,1.834,3.277,22.896,0.000,1.443
1.685,1.834,1.834,22.747,0.000,0.000
1.185,2.620,2.620,21.312,0.000,0.000
1.401,3.144,3.144,19.569,0.000,0.000
0.668,3.668,3.668,16.568,0.000,0.000
0.423,3.668,3.668,13.323,0.000,0.000
0.662,2.620,2.620,11.365,0.000,0.000
