Monat,Durchfluss_m3s,Datum
06/1995,0.8728750000000002,1995-06-01
07/1995,0.8658250000000001,1995-07-01
08/1995,0.6943,1995-08-01
09/1995,0.7096,1995-09-01
10/1995,0.8138250000000002,1995-10-01
11/1995,0.9568749999999998,1995-11-01
12/1995,1.4237750000000005,1995-12-01
01/1996,1.325625,1996-01-01
02/1996,1.0902250000000007,1996-02-01
03/1996,1.8362000000000003,1996-03-01
04/1996,2.3966499999999997,1996-04-01
05/1996,1.258225,1996-05-01
06/1996,0.8728750000000002,1996-06-01
07/1996,0.8658250000000001,1996-07-01
08/1996,0.6943,1996-08-01
09/1996,0.7096,1996-09-01
10/1996,0.8138250000000002,1996-10-01
11/1996,0.9568749999999998,1996-11-01
12/1996,1.4237750000000005,1996-12-01
01/1997,1.325625,1997-01-01
02/1997,1.0902250000000007,1997-02-01
03/1997,1.8362000000000003,1997-03-01
04/1997,2.3966499999999997,1997-04-01
05/1997,1.258225,1997-05-01
06/1997,0.8728750000000002,1997-06-01
07/1997,0.8658250000000001,1997-07-01
08/1997,0.6943,1997-08-01
09/1997,0.7096,1997-09-01
10/1997,0.8138250000000002,1997-10-01
11/1997,0.9568749999999998,1997-11-01
12/1997,1.4237750000000005,1997-12-01
01/1998,1.325625,1998-01-01
02/1998,1.0902250000000007,1998-02-01
03/1998,1.8362000000000003,1998-03-01
04/1998,2.3966499999999997,1998-04-01
05/1998,1.258225,1998-05-01
06/1998,0.8728750000000002,1998-06-01
07/1998,0.8658250000000001,1998-07-01
08/1998,0.6943,1998-08-01
09/1998,0.7096,1998-09-01
10/1998,0.8138250000000002,1998-10-01
11/1998,0.9568749999999998,1998-11-01
12/1998,1.4237750000000005,1998-12-01
01/1999,1.325625,1999-01-01
02/1999,1.0902250000000007,1999-02-01
03/1999,1.8362000000000003,1999-03-01
04/1999,2.3966499999999997,1999-04-01
05/1999,1.258225,1999-05-01
06/1999,0.8728750000000002,1999-06-01
07/1999,0.8658250000000001,1999-07-01
08/1999,0.6943,1999-08-01
09/1999,0.7096,1999-09-01
10/1999,0.8138250000000002,1999-10-01
