Zufluss [hm³],Soll-Abgabe [hm³],Ist-Abgabe [hm³],storage,deficit,overflow
2.447,1.268,1.268,16.840,0.000,0.000
1.132,1.015,1.015,16.957,0.000,0.000
1.659,0.761,0.761,17.855,0.000,0.000
7.661,1.776,1.776,23.739,0.000,0.000
12.058,1.776,9.791,26.006,0.000,8.015
1.659,2.537,2.537,25.128,0.000,0.000
1.137,3.044,3.044,23.222,0.000,0.000
1.372,3.552,3.552,21.042,0.000,0.000
1.446,3.552,3.552,18.936,0.000,0.000
1.166,2.537,2.537,17.565,0.000,0.000
1.620,1.776,1.776,17.409,0.000,0.000
4.082,1.776,1.776,19.714,0.000,0.000
2.005,1.268,1.268,20.451,0.000,0.000
2.128,1.015,1.015,21.564,0.000,0.000
2.953,0.761,0.761,23.756,0.000,0.000
8.128,1.776,5.879,26.006,0.000,4.103
2.480,1.776,2.480,26.006,0.000,0.704
3.761,2.537,3.761,26.006,0.000,1.224
2.941,3.044,3.044,25.903,0.000,0.000
2.312,3.552,3.552,24.663,0.000,0.000
2.264,3.552,3.552,23.375,0.000,0.000
1.356,2.537,2.537,22.194,0.000,0.000
0.340,1.776,1.776,20.758,0.000,0.000
0.107,1.776,1.776,19.089,0.000,0.000
0.962,1.268,1.268,18.783,0.000,0.000
-0.962,1.015,1.015,16.806,0.000,0.000
-1.637,0.761,0.761,14.408,0.000,0.000
13.157,1.776,1.776,25.790,0.000,0.000
10.879,1.776,10.662,26.006,0.000,8.886
3.364,2.537,3.364,26.006,0.000,0.827
5.869,3.044,5.869,26.006,0.000,2.825
0.678,3.552,3.552,23.132,0.000,0.000
2.395,3.552,3.552,21.975,0.000,0.000
1.135,2.537,2.537,20.573,0.000,0.000
3.947,1.776,1.776,22.744,0.000,0.000
6.061,1.776,2.799,26.006,0.000,1.023
5.974,1.268,5.974,26.006,0.000,4.706
4.456,1.015,4.456,26.006,0.000,3.441
4.739,0.761,4.739,26.006,0.000,3.978
18.448,1.776,18.448,26.006,0.000,16.672
6.825,1.776,6.825,26.006,0.000,5.049
5.491,2.537,5.491,26.006,0.000,2.954
2.226,3.044,3.044,25.188,0.000,0.000
2.429,3.552,3.552,24.065,0.000,0.000
1.768,3.552,3.552,22.280,0.000,0.000
0.320,2.537,2.537,20.064,0.000,0.000
1.212,1.776,1.776,19.500,0.000,0.000
5.885,1.776,1.776,23.609,0.000,0.000
4.146,1.268,1.749,26.006,0.000,0.481
-0.141,1.015,1.015,24.850,0.000,0.000
5.068,0.761,3.912,26.006,0.000,3.151
-0.625,1.776,1.776,23.605,0.000,0.000
3.007,1.776,1.776,24.836,0.000,0.000
2.475,2.537,2.537,24.773,0.000,0.000
5.385,3.044,4.152,26.006,0.000,1.108
2.165,3.552,3.552,24.619,0.000,0.000
1.365,3.552,3.552,22.432,0.000,0.000
1.727,2.537,2.537,21.622,0.000,0.000
