Monat,Durchfluss_m3s,Datum,trendber,trend,saisonfigur_mean,saisonfigur_std,saisonber,normiert,autokorr_saisonfigur,autokorr,zufall
08/1967,0.553,1967-08-01,0.52166,0.03134,0.6943,0.42636,-0.1413,-0.33141,0.19382,-0.06423,-0.26718
09/1967,0.455,1967-09-01,0.42387,0.03113,0.7096,0.52468,-0.2546,-0.48524,0.54189,-0.26295,-0.2223
10/1967,0.491,1967-10-01,0.46009,0.03091,0.81383,0.66743,-0.32283,-0.48368,-0.0622,0.03008,-0.51377
11/1967,0.542,1967-11-01,0.5113,0.0307,0.95687,0.73276,-0.41487,-0.56618,0.44651,-0.25281,-0.31338
12/1967,2.193,1967-12-01,2.16251,0.03049,1.42378,1.20142,0.76922,0.64027,0.38281,0.2451,0.39516
01/1968,2.848,1968-01-01,2.81773,0.03027,1.32562,0.92795,1.52237,1.64057,0.25444,0.41743,1.22314
02/1968,1.039,1968-02-01,1.00894,0.03006,1.09023,0.71671,-0.05123,-0.07147,0.25318,-0.0181,-0.05338
03/1968,3.584,1968-03-01,3.55415,0.02985,1.8362,1.01561,1.7478,1.72094,0.00952,0.01638,1.70455
04/1968,3.988,1968-04-01,3.95837,0.02963,2.39665,1.45556,1.59135,1.09329,0.59307,0.64839,0.4449
05/1968,1.472,1968-05-01,1.44258,0.02942,1.25822,0.80009,0.21378,0.26719,0.37076,0.09906,0.16813
06/1968,0.648,1968-06-01,0.6188,0.0292,0.87288,0.52115,-0.22488,-0.4315,0.06897,-0.02976,-0.40173
07/1968,0.714,1968-07-01,0.68501,0.02899,0.86582,0.66268,-0.15183,-0.22911,0.11956,-0.02739,-0.20172
08/1968,0.833,1968-08-01,0.80422,0.02878,0.6943,0.42636,0.1387,0.32531,0.19382,0.06305,0.26226
09/1968,1.351,1968-09-01,1.32244,0.02856,0.7096,0.52468,0.6414,1.22245,0.54189,0.66243,0.56002
10/1968,3.055,1968-10-01,3.02665,0.02835,0.81383,0.66743,2.24118,3.3579,-0.0622,-0.20885,3.56676
11/1968,0.743,1968-11-01,0.71487,0.02813,0.95687,0.73276,-0.21387,-0.29188,0.44651,-0.13033,-0.16155
12/1968,0.668,1968-12-01,0.64008,0.02792,1.42378,1.20142,-0.75578,-0.62907,0.38281,-0.24082,-0.38825
01/1969,0.621,1969-01-01,0.59329,0.02771,1.32562,0.92795,-0.70462,-0.75933,0.25444,-0.19321,-0.56613
02/1969,0.612,1969-02-01,0.58451,0.02749,1.09023,0.71671,-0.47823,-0.66725,0.25318,-0.16893,-0.49832
03/1969,1.769,1969-03-01,1.74172,0.02728,1.8362,1.01561,-0.0672,-0.06617,0.00952,-0.00063,-0.06554
04/1969,5.529,1969-04-01,5.50194,0.02706,2.39665,1.45556,3.13235,2.15199,0.59307,1.27627,0.87572
05/1969,2.949,1969-05-01,2.92215,0.02685,1.25822,0.80009,1.69078,2.11324,0.37076,0.78351,1.32973
06/1969,0.999,1969-06-01,0.97236,0.02664,0.87288,0.52115,0.12612,0.24201,0.06897,0.01669,0.22532
